Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 1,85278.49837499755,85080.48408480108,85672.05844028329,85295.96545499824,83594.08401485793,83594.08401485793
Gen 2,74832.23281675698,72934.9031882335,75064.16973697297,76502.63812088824,77191.5200869403,72934.9031882335
Gen 3,71880.48842024874,71442.90942068842,72165.774275357,70983.14170257114,70630.66522854975,70630.66522854975
Gen 4,69210.64560040309,71320.32006271381,70244.53163322221,68640.38870697981,69239.40197347334,68640.38870697981
Gen 5,66654.4598492262,66750.9232908575,67806.35008607322,67492.43258325115,68066.37710103618,66654.4598492262
Gen 6,65550.61926830705,66750.9232908575,66534.05417397644,65846.37107291391,65645.02143346197,65550.61926830705
Gen 7,64366.074024142596,62014.59972197103,60636.07583120159,63156.02533376289,65316.57569347504,60636.07583120159
Gen 8,61977.325801462546,62014.59972197103,60636.07583120159,63156.02533376289,62994.61979971643,60636.07583120159
Gen 9,61977.325801462546,62014.59972197103,60636.07583120159,61428.686043325884,62994.61979971643,60636.07583120159
Gen 10,61977.325801462546,61159.47257690474,60636.07583120159,61428.686043325884,61300.20673481058,60636.07583120159
Gen 11,59640.68763408656,58666.02386765599,59478.14982489215,60685.48854438666,61300.20673481058,58666.02386765599
Gen 12,59640.68763408656,58666.02386765599,59478.14982489215,60685.48854438666,58784.88696681816,58666.02386765599
Gen 13,59640.68763408656,58666.02386765599,59478.14982489215,60685.48854438666,58784.88696681816,58666.02386765599
Gen 14,58515.99184844002,57680.32377477762,57970.02258841366,60605.64646384105,58784.88696681816,57680.32377477762
Gen 15,58515.99184844002,57680.32377477762,57970.02258841366,60511.68027693119,58784.88696681816,57680.32377477762
Gen 16,58515.99184844002,57680.32377477762,57970.02258841366,60511.68027693119,58784.88696681816,57680.32377477762
Gen 17,58515.99184844002,57680.32377477762,57333.27819332926,60222.678099358825,58784.88696681816,57333.27819332926
Gen 18,58515.99184844002,57680.32377477762,57333.27819332926,59698.78764585746,58784.88696681816,57333.27819332926
Gen 19,58515.99184844002,57680.32377477762,57333.27819332926,59698.78764585746,58784.88696681816,57333.27819332926
Gen 20,58360.795611492125,57110.52540670664,57333.27819332926,59698.78764585746,56995.294203852085,56995.294203852085
Gen 21,58360.795611492125,57110.52540670664,57333.27819332926,57034.22722767507,56995.294203852085,56995.294203852085
Gen 22,57810.296220195254,57110.52540670664,57333.27819332926,57034.22722767507,56995.294203852085,56995.294203852085
Gen 23,57810.296220195254,56318.79371625627,57333.27819332926,57034.22722767507,56995.294203852085,56318.79371625627
Gen 24,56930.98020529366,56318.79371625627,57333.27819332926,55381.94862437306,56995.294203852085,55381.94862437306
Gen 25,56930.98020529366,55846.06956261078,57333.27819332926,55381.94862437306,56995.294203852085,55381.94862437306
Gen 26,56202.4214377724,55702.85588489641,57333.27819332926,55381.94862437306,56995.294203852085,55381.94862437306
Gen 27,56202.4214377724,55702.85588489641,57161.31815239873,55381.94862437306,56995.294203852085,55381.94862437306
Gen 28,56202.4214377724,55702.85588489641,54704.13574229494,55381.94862437306,54964.31510480504,54704.13574229494
Gen 29,56064.28568788079,55702.85588489641,54704.13574229494,55381.94862437306,54964.31510480504,54704.13574229494
Gen 30,56064.28568788079,55702.85588489641,54464.28594434104,55381.94862437306,54964.31510480504,54464.28594434104
Gen 31,56064.28568788079,55702.85588489641,54464.28594434104,55381.94862437306,54964.31510480504,54464.28594434104
Gen 32,56064.28568788079,55702.85588489641,52445.2157090374,55381.94862437306,54964.31510480504,52445.2157090374
Gen 33,55818.24842020015,55276.11846426483,52445.2157090374,55381.94862437306,54964.31510480504,52445.2157090374
Gen 34,55818.24842020015,54674.5011352628,52445.2157090374,55381.94862437306,54964.31510480504,52445.2157090374
